Les 10 km de Templeuve 04/09/2021
challenge
9 km
0015629 0h41m37s 
0103392 0h44m29s 
0182084 0h44m38s 
0208836 0h45m13s 
0221115 0h45m43s 
0232691 0h45m51s 
0241572 0h45m51s 
0283500 0h46m19s 
0348857 0h46m54s 
0354163 0h47m59s 
0354849 0h48m15s 
0383268 0h48m38s 
0410591 0h48m41s 
0483015 0h48m58s 
0556977 0h49m2s  
0568864 0h49m4s  
0628629 0h49m9s  
0632109 0h49m10s 
0643870 0h49m24s 
0653843 0h49m31s 
0715602 0h49m55s 
0890976 0h49m56s 
0906106 0h50m1s  
0949886 0h50m4s  
0985230 0h50m34s 
1001400 0h50m40s 
1055381 0h50m46s 
1068322 0h50m52s 
1104241 0h51m11s 
1147632 0h51m12s 
1200079 0h51m26s 
1385474 0h51m37s 
1481496 0h52m25s 
1492710 0h52m29s 
1496794 0h52m45s 
1575734 0h52m51s 
1576032 0h52m55s 
1579027 0h53m13s 
1611062 0h53m17s 
1628064 0h53m28s 
1702625 0h53m31s 
1757676 0h53m38s 
1785524 0h54m1s  
1810186 0h54m5s  
1839708 0h54m11s 
1859500 0h54m22s 
1918331 0h54m27s 
1946533 0h54m40s 
1948015 0h54m44s 
1948170 0h54m49s 
1962388 0h54m55s 
1973381 0h55m9s  
1995597 0h55m11s 
2024352 0h55m13s 
2032539 0h55m15s 
2057657 0h55m18s 
2152062 0h55m21s 
2168656 0h55m40s 
2210038 0h55m42s 
2225619 0h55m53s 
2261491 0h56m0s  
2263300 0h56m15s 
2344645 0h56m26s 
2379299 0h56m32s 
2412983 0h56m39s 
2474881 0h56m55s 
2540369 0h57m7s  
2578211 0h57m8s  
2737815 0h57m8s  
2755495 0h57m14s 
2784139 0h57m17s 
2795061 0h57m20s 
2806954 0h57m27s 
2842512 0h57m37s 
2890248 0h57m37s 
2897050 0h57m47s 
2912420 0h57m49s 
2926867 0h57m55s 
2935803 0h58m2s  
2938694 0h58m8s  
2977528 0h58m16s 
3112553 0h58m20s 
3125170 0h58m22s 
3126428 0h58m24s 
3209360 0h58m47s 
3306849 0h58m47s 
3322297 0h58m52s 
